EVACode,UICCode,code,ingangsDatum,heeftFaciliteiten,heeftReisassistentie,heeftVertrektijden,land,lat,lng,radius,naderenRadius,namen,synoniemen,nearbyMeLocationId,sporen,stationType,cdCode
8400258,8400258,GD,2016-12-11,True,True,True,NL,52.0175018310547,4.70444440841675,525,1200,"{'lang': 'Gouda', 'middel': 'Gouda', 'kort': 'Gouda'}",[],"{'value': 'GD', 'type': 'stationV2'}","[{'spoorNummer': '3'}, {'spoorNummer': '3a'}, {'spoorNummer': '3b'}, {'spoorNummer': '5'}, {'spoorNummer': '8'}, {'spoorNummer': '10'}, {'spoorNummer': '11'}]",KNOOPPUNT_INTERCITY_STATION,258.0
8400259,8400259,GBG,2020-05-13,True,True,True,NL,52.6091651916504,6.67583322525024,200,1200,"{'lang': 'Gramsbergen', 'middel': 'Gramsbergen', 'kort': 'Gramsbergn'}",[],"{'value': 'GBG', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,259.0
8400011,8400262,GBR,2020-05-13,True,True,True,NL,52.2186126708984,6.97444438934326,200,1200,"{'lang': 'Glanerbrug', 'middel': 'Glanerbrug', 'kort': 'Glanerbrug'}",[],"{'value': 'GBR', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,262.0
8400263,8400263,GN,2023-12-10,True,True,True,NL,53.2105560302734,6.56472206115723,525,1200,"{'lang': 'Groningen', 'middel': 'Groningen', 'kort': 'Groningen'}",[],"{'value': 'GN', 'type': 'stationV2'}","[{'spoorNummer': '1a'}, {'spoorNummer': '1b'}, {'spoorNummer': '2a'}, {'spoorNummer': '2b'}, {'spoorNummer': '3a'}, {'spoorNummer': '3b'}, {'spoorNummer': '4b'}, {'spoorNummer': '5a'}, {'spoorNummer': '6a'}, {'spoorNummer': '6b'}, {'spoorNummer': '7'}]",KNOOPPUNT_INTERCITY_STATION,263.0
8400264,8400264,GNN,2020-09-01,True,True,True,NL,53.2301469,6.5563172,200,1200,"{'lang': 'Groningen Noord', 'middel': 'Groningen Noord', 'kort': 'Groningn N'}",[],"{'value': 'GNN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,264.0
8400266,8400266,GW,2023-12-10,True,True,True,NL,53.0888900756836,5.82250022888184,200,1600,"{'lang': 'Grou-Jirnsum', 'middel': 'Grou-Jirnsum', 'kort': 'Grou-Jirns'}",[],"{'value': 'GW', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,266.0
8400267,8400267,GK,2020-09-01,True,True,True,NL,53.2557403255735,6.30977869033813,200,1200,"{'lang': 'Grijpskerk', 'middel': 'Grijpskerk', 'kort': 'Grijpskerk'}",[],"{'value': 'GK', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,267.0
8402735,8400270,HLMS,2011-05-01,True,True,True,NL,52.3827781677246,4.67305564880371,200,1200,"{'lang': 'Haarlem Spaarnwoude', 'middel': 'Spaarnwoude', 'kort': 'Spaarnwde'}",[],"{'value': 'HLMS', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,270.0
8400278,8400278,GVM,2011-05-01,True,True,True,NL,52.0905570983887,4.36944437026978,200,1200,"{'lang': 'Den Haag Mariahoeve', 'middel': 'Mariahoeve', 'kort': 'Mariahoeve'}",[],"{'value': 'GVM', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,278.0
8400279,8400279,GVMW,2011-05-01,True,True,True,NL,52.0538902282715,4.3086109161377,200,1200,"{'lang': 'Den Haag Moerwijk', 'middel': 'Moerwijk', 'kort': 'Moerwijk'}",[],"{'value': 'GVMW', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,279.0
8400280,8400280,GV,2017-02-01,True,True,True,NL,52.0697212219238,4.32250022888184,525,1600,"{'lang': 'Den Haag HS', 'middel': 'Den Haag HS', 'kort': 'Dn Haag HS'}","['Den Haag Hollands Spoor', 'Hollands Spoor']","{'value': 'GV', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}]",KNOOPPUNT_INTERCITY_STATION,280.0
8400282,8400282,GVC,2015-04-15,True,True,True,NL,52.0802764892578,4.32499980926514,525,1600,"{'lang': 'Den Haag Centraal', 'middel': 'Den Haag C.', 'kort': 'Den Haag C'}","['Den Haag CS', 'Den Haag', ""'s-Gravenhage""]","{'value': 'GVC', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}, {'spoorNummer': '7'}, {'spoorNummer': '8'}, {'spoorNummer': '9'}, {'spoorNummer': '10'}]",MEGA_STATION,282.0
